path	ibrion	tebeg	teend	nsw	potim	contcar_size	species	counts
GK_xum02/xqd/5-MVB/2-PbSe/1-model/5-MD/1	0	300.0	300.0	3000	3.00	77508	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/1-model/6-born						33303	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/0-model/3-opt	2			50	0.50	33303	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/0-model/4-scf	-1			0	0.50	33303	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/0-model/5-MD	0	0	0	500	3.00	77508	Pb Se	150 150
GK_xum02/xqd/5-MVB/2-PbSe/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Pb Se	150 150
GK_xum02/xqd/5-MVB/6-SnTe/0-model/3-opt	2			30	0.50	33303	Sn Te	150 150
GK_xum02/xqd/5-MVB/6-SnTe/0-model/4-scf	-1			0	0.50	33303	Sn Te	150 150
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD	0	0	0	2500	3.00	77508	Sn Te	150 150
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Sn Te	150 150
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/component/1	0	0	0	500	3.00	77508	Sn Te	145 155
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/component/2	0	0	0	500	3.00	77508	Sn Te	140 160
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/component/3	0	0	0	500	3.00	77508	Sn Te	130 170
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/component/4	0	0	0	500	3.00	77508	Sn Te	160 140
GK_xum02/xqd/5-MVB/6-SnTe/0-model/5-MD/component/5	0	0	0	500	3.00	77508	Sn Te	170 130
GK_xum02/xqd/5-MVB/6-SnTe/0-model/6-born						33303	Sn Te	150 150
GK_xum02/xqd/5-MVB/7-GaAs/0-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Ga As	150 150
GK_xum02/xqd/5-MVB/7-GaAs/0-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Ga As	150 150
GK_xum02/xqd/5-MVB/7-GaAs/0-model/3-opt	2			200	0.50	33303	Ga As	150 150
GK_xum02/xqd/5-MVB/7-GaAs/0-model/4-scf	-1			0	0.50	33303	Ga As	150 150
GK_xum02/xqd/5-MVB/7-GaAs/0-model/5-MD	0	0	0	2000	3.00	77508	Ga As	150 150
GK_xum02/xqd/5-MVB/1-PbS/1-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/1-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/1-model/3-opt	2			200	0.50	33303	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/1-model/5-MD	0	0	0	1000	3.00	77508	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/1-model/6-born						33303	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/0-model/3-opt	2			30	0.50	33303	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/0-model/4-scf	-1			0	0.50	33303	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/0-model/5-MD	0	0	0	3000	3.00	77508	Pb S	150 150
GK_xum02/xqd/5-MVB/1-PbS/0-model/5-MD/MD-1	0	0	0	500	3.00	77508	Pb S	150 150
GK_xum02/xqd/5-MVB						0		
GK_xum02/xqd/8-In-doped/1-GeTe/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/1-300K	0	3000.0	300.0	3000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/2-opt	2			300	0.50	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/3-MD	0	300.0	300.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/02-300K	0	1200.0	300.0	10000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/4-scf	-1			0	0.5	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/03-opt	2			300	0.50	33314	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/1-GeTe/04-MD	0	300.0	300.0	2000	3.00	77519	In Ge Te	30 120 150
GK_xum02/xqd/8-In-doped/2-Sb2Te3/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/1-300K	0	3000.0	300.0	3000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/2-opt	2			500	0.50	33314	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/3-MD	0	300.0	300.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/4-scf	-1			0	0.5	0	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/02-300K	0	1200.0	300.0	10000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/03-opt	2			500	0.50	33314	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/2-Sb2Te3/04-MD	0	300.0	300.0	2000	3.00	77519	In Sb Te	30 90 180
GK_xum02/xqd/8-In-doped/3-GST225/0-equilibrate	0	3000.0	3000.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/01-1200K	0	1200.0	1200.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/1-300K	0	3000.0	300.0	3000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/2-opt	2			300	0.50	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/3-MD	0	300.0	300.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/4-scf	-1			0	0.5	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/02-300K	0	1200.0	300.0	10000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/03-opt	0	300.0	300.0	2000	3.00	33985	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/3-GST225/04-MD	0	300.0	300.0	2000	3.00	79072	In Ge Sb Te	30 53 53 170
GK_xum02/xqd/8-In-doped/4-Sb/0-equilibrate	0	3000.0	3000.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/01-1200K	0	1200.0	1200.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/1-300K	0	3000.0	300.0	3000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/2-opt	2			300	0.50	33303	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/3-MD	0	300.0	300.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/02-300K	0	1200.0	300.0	10000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/4-scf	-1			0	0.5	33303	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/03-opt	2			300	0.50	33303	In Sb	30 270
GK_xum02/xqd/8-In-doped/4-Sb/04-MD	0	300.0	300.0	2000	3.00	77508	In Sb	30 270
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/0-equilibrate	0	3000.0	3000.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/01-1200K	0	1200.0	1200.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/1-300K	0	3000.0	300.0	3000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/2-opt	2			300	0.50	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/3-MD	0	300.0	300.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/02-300K	0	1200.0	300.0	10000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/4-scf	-1			0	0.5	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/03-opt	2			300	0.50	33314	In Ge Sb	30 40 230
GK_xum02/xqd/8-In-doped/5-Ge15Sb85/04-MD	0	300.0	300.0	2000	3.00	77519	In Ge Sb	30 40 230
GK_xum02/xqd/1-PCM/1-Sb/1-model/1-2000K	0	2000.0	2000.0	2000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/2-2000K-300K	0	1262.0	300.0	1132	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/3-opt	2			100	0.50	33292	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/4-scf	-1			0	0.50	33292	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/2-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/3-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/1-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/4-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/5-MD/5-MD	0	300.0	300.0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/1-model/6-300K-MD	0	300.0	300.0	2000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/1-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/2-MD	0	0	0	500	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/3-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/1-Sb/0-model/4-MD	0	0	0	1000	3.00	77497	Sb	300
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2	0	0	0	1000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/2	0	0	0	500	3.00	77508	Ge Sb	35 265
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/3	0	0	0	500	3.00	77508	Ge Sb	50 250
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/4	0	0	0	500	3.00	77508	Ge Sb	60 240
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/5	0	0	0	500	3.00	77508	Ge Sb	70 230
GK_xum02/xqd/1-PCM/2-Ge15Sb85/0-model/2-component/1	0	0	0	500	3.00	77508	Ge Sb	40 260
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/3-opt	2			100	0.50	33303	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/4-scf	-1			0	0.50	33303	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD	0	0	0	1000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/1	0	0	0	500	3.00	77508	Ge Sb	35 265
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/2	0	0	0	500	3.00	77508	Ge Sb	40 260
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/3	0	0	0	500	3.00	77508	Ge Sb	50 250
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/4	0	0	0	500	3.00	77508	Ge Sb	55 245
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/1-MD/component/5	0	0	0	500	3.00	77508	Ge Sb	60 240
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/2-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/3-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/4-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/5-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/5-MD/6-MD	0	0	0	500	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/2-Ge15Sb85/1-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Ge Sb	45 255
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/2-MD	0	0	0	1000	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/3-MD	0	300	300	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/4-MD	0	300	300	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/0-model/0-scf	-1			0	0.50	33424	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/3-opt	2			50	0.50	33424	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/5-MD/1-MD	0	0.0	0.0	1000	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/5-MD/2-MD	0	0.0	0.0	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/10-GeBiTe/1-model/5-MD/3-MD	0	0.0	0.0	500	3.00	77776	Ge Bi Te	43 86 172
GK_xum02/xqd/1-PCM/4-GeTe/1-model/3-opt	2			100	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/6-dos_PBE/elf	-1			0	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/6-dos_PBE	-1			0	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/6-dos_PBE/ISMEAR_0	-1			0	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/3-135	0	0	0	500	3.00	77508	Ge Te	135 165
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/4-130	0	0	0	500	3.00	77508	Ge Te	130 170
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/5-125	0	0	0	500	3.00	77508	Ge Te	125 175
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/6-160	0	0	0	500	3.00	77508	Ge Te	160 140
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/1-145	0	0	0	500	3.00	77508	Ge Te	145 155
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/2-140	0	0	0	500	3.00	77508	Ge Te	140 160
GK_xum02/xqd/1-PCM/4-GeTe/1-model/comp/7-170	0	0	0	500	3.00	77508	Ge Te	170 130
GK_xum02/xqd/1-PCM/4-GeTe/1-model/5-bader	-1			0	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/4-MD/1-MD	0	0	0	1000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/4-MD/2-MD	0	0	0	500	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/4-MD/3-MD	0	300	300	500	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/4-MD/msd-600K	0	600.0	600.0	3000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/4-MD/300k	0	300.0	300.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/7-dos_HSE	-1			0	0.20	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/1-2000K/liquid	0	2000.0	2000.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/1-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/3-opt	2			200	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/2-2000K-300K	0	2000.0	300.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/5-MD	0	0	0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/5-MD/MD-300K	0	300	300	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/comp/4-160	0	0	0	500	3.00	77508	Ge Te	160 140
GK_xum02/xqd/1-PCM/4-GeTe/2-model/comp/5-170	0	0	0	500	3.00	77508	Ge Te	170 130
GK_xum02/xqd/1-PCM/4-GeTe/2-model/comp/1-138	0	0	0	500	3.00	77508	Ge Te	138 162
GK_xum02/xqd/1-PCM/4-GeTe/2-model/comp/2-135	0	0	0	500	3.00	77508	Ge Te	135 165
GK_xum02/xqd/1-PCM/4-GeTe/2-model/comp/3-130	0	0	0	300	3.00	77508	Ge Te	130 170
GK_xum02/xqd/1-PCM/4-GeTe/2-model/6-dos	-1			0	0.50	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/2-model/4-lobster	-1			0	0.5	33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/0-model/1-MD/component/1	0	0	0	500	3.00	77508	Ge Te	142 158
GK_xum02/xqd/1-PCM/4-GeTe/0-model/1-MD/component/2	0	0	0	500	3.00	77508	Ge Te	134 166
GK_xum02/xqd/1-PCM/4-GeTe/0-model/1-MD/component/3	0	0	0	500	3.00	77508	Ge Te	155 145
GK_xum02/xqd/1-PCM/4-GeTe/0-model/1-MD/component/4	0	0	0	500	3.00	77508	Ge Te	160 140
GK_xum02/xqd/1-PCM/4-GeTe/0-model/1-MD/component/5	0	0	0	500	3.00	77508	Ge Te	160 140
GK_xum02/xqd/1-PCM/4-GeTe/0-model/2-MD	0	0	0	500	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/0-model/3-MD	0	0	0	3000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/0-model/300K	0	300.0	300.0	2000	3.00	77508	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/0-model/born						33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/3-512/3-opt	2			1000	0.50	56623	Ge Te	256 256
GK_xum02/xqd/1-PCM/4-GeTe/3-512/4-scf	-1			0	0.50	56623	Ge Te	256 256
GK_xum02/xqd/1-PCM/4-GeTe/3-512/5-MD	0	300.0	300.0	1000	3.00	131992	Ge Te	256 256
GK_xum02/xqd/1-PCM/4-GeTe/3-512/1-2000K	0	2000.0	2000.0	400	3.00	131992	Ge Te	256 256
GK_xum02/xqd/1-PCM/4-GeTe/3-512/2-2000-300K	0	300.0	300.0	1000	3.00	131992	Ge Te	256 256
GK_xum02/xqd/1-PCM/4-GeTe/4-cubic/1-64atom/1-opt	2			1000	0.50	7343	Ge Te	32 32
GK_xum02/xqd/1-PCM/4-GeTe/4-cubic/1-64atom/2-MD	0	300.0	300.0	1000	3.00	16856	Ge Te	32 32
GK_xum02/xqd/1-PCM/4-GeTe/5-model/born						33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/4-GeTe/6-model/born						33303	Ge Te	150 150
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/2-MD/1-130	0	0	0	500	3.00	77508	Sb Te	130 170
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/2-MD/2-110	0	0	0	500	3.00	77508	Sb Te	110 190
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/2-MD/3-125	0	0	0	500	3.00	77508	Sb Te	125 175
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/2-MD/4-115	0	0	0	500	3.00	77508	Sb Te	115 185
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/2-MD/5-135	0	0	0	500	3.00	77508	Sb Te	135 165
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/3-MD	0	0	0	1000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/4-MD	0	0	0	1000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/5-MD	0	0	0	1000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/0-model/6-MD-3000	0	0	0	3000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/3-opt	2				0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/6-dos_PBE	-1			0	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/5-scf_bader	-1			0	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/9-die						33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/7-dos_HSE	-1			0	0.20	0	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/4-MD/1-MD	0	0	0	1000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/4-MD/300K	0	300	300	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/4-MD/2-MD	0	0	0	500	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/8-0ismear&lobster	-1			0	0.5	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/1-model/2-2000K-300K/re	0	2000.0	300.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/2-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/2-model/2-2000-300K	0	2000.0	300.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/2-model/3-opt	2			1000	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/2-model/4-die2						0	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/3-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/3-model/2-2000-300K	0	2000.0	300.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/3-model/3-opt	2			1000	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/4-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/4-model/2-2000-300K	0	2000.0	300.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/4-model/3-opt	2			1000	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/4-model/4-die2						33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/5-model/1-2000K	0	2000.0	2000.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/5-model/2-2000-300K	0	2000.0	300.0	2000	3.00	77508	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/5-model/4-die2						33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3/5-model/3-opt	2			1000	0.50	33303	Sb Te	120 180
GK_xum02/xqd/1-PCM/5-Sb2Te3						0		
GK_xum02/xqd/1-PCM/6-GST225/0-model/2-MD	0	0	0	1000	3.00	79061	Ge Sb Te	68 68 170
